ConceptID,Label,TaxonomyID,Dependencies,CIS
1,Fluid Mechanics,FUND,,7143
2,States of Matter,FUND,,676
3,Pressure,FUND,,5031
4,Gauge vs Absolute Pressure,FUND,3,160
5,Differential Pressure,FUND,"3,4",136
6,Fluid Density,FUND,2,159
7,Specific Gravity,FUND,6,127
8,Viscosity,FUND,"1,2",423
9,Dynamic Viscosity,FUND,8,1
10,Kinematic Viscosity,FUND,"8,6",1
11,Reynolds Number,FUND,"1,8",398
12,Flow Regimes,FUND,11,397
13,Laminar Flow,FUND,12,3
14,Turbulent Flow,FUND,12,28
15,Bernoulli Equation,FUND,"1,3",2170
16,Conservation of Energy,FUND,15,1
17,Continuity Equation,FUND,1,2103
18,Pressure Drop,FUND,"3,15,17",2100
19,Velocity Head,FUND,15,1
20,Hydraulic Gradient,FUND,18,1
21,Cavitation,FUND,"15,18",38
22,Vapor Pressure,FUND,"2,3",60
23,Incipient Cavitation,FUND,"21,22",1
24,Cavitation Damage,FUND,21,1
25,Flashing,FUND,"21,22",26
26,Choked Flow,FUND,"15,18,25",22
27,Vena Contracta,FUND,"15,18",4
28,Pressure Recovery,FUND,27,1
29,Gas Compressibility,FUND,"2,3",15
30,Ideal Gas Law,FUND,"29,6",1
31,Expansion Factor Y,FUND,"29,26",1
32,Noise in Control Valves,FUND,"14,18",16
33,Vibration,FUND,"14,32",7
34,Water Hammer,FUND,"1,17,18",1
35,Pipe Flow,FUND,"1,12,18",365
36,Pipe Schedule,FUND,35,357
37,Pipe Material,FUND,36,356
38,Fluid Temperature Effects,FUND,"8,22,6",16
39,Superheated Steam,FUND,"2,38",8
40,Saturated Steam,FUND,"2,22",10
41,Steam Enthalpy,FUND,"40,39",1
42,Flash Steam,FUND,"25,40",1
43,Two-Phase Flow,FUND,"25,13,14",2
44,Net Positive Suction Head,FUND,"21,18",1
45,Flow Units Conversion,FUND,"17,6",1
46,Control Valve,VLVB,"1,18",1312
47,Globe Valve Body,VLVB,46,18
48,Single-Port Globe Valve,VLVB,47,7
49,Double-Port Globe Valve,VLVB,47,1
50,Angle Globe Valve,VLVB,47,1
51,Ball Valve,VLVB,46,17
52,Segmented Ball Valve,VLVB,51,1
53,Full Bore Ball Valve,VLVB,51,1
54,V-Notch Ball Valve,VLVB,51,2
55,Butterfly Valve,VLVB,46,16
56,High-Performance Butterfly,VLVB,55,1
57,Triple Offset Butterfly,VLVB,55,1
58,Gate Valve,VLVB,46,21
59,Isolation Gate Valve,VLVB,58,12
60,Knife Gate Valve,VLVB,58,1
61,Plug Valve,VLVB,46,2
62,Eccentric Plug Valve,VLVB,61,1
63,Diaphragm Valve,VLVB,46,4
64,Pinch Valve,VLVB,46,1
65,Check Valve,VLVB,46,3
66,Swing Check Valve,VLVB,65,1
67,Lift Check Valve,VLVB,65,1
68,Choke Valve,VLVB,"46,26",19
69,Fixed Choke,VLVB,68,1
70,Adjustable Choke,VLVB,68,8
71,Wellhead Choke,VLVB,70,7
72,Erosion-Resistant Trim,VLVB,68,3
73,Regulator,VLVB,"46,18",10
74,Self-Contained Regulator,VLVB,73,4
75,Pilot-Operated Regulator,VLVB,73,1
76,Back-Pressure Regulator,VLVB,73,1
77,Dome-Loaded Regulator,VLVB,73,1
78,Valve Body Material,VLVB,"46,37",355
79,Carbon Steel Body,VLVB,78,1
80,Stainless Steel Body,VLVB,78,7
81,Alloy 20 Body,VLVB,78,1
82,Duplex Stainless Body,VLVB,78,1
83,Body Pressure Rating,VLVB,"78,3",302
84,ANSI Pressure Class,VLVB,83,152
85,End Connection Types,VLVB,46,5
86,Flanged End Connection,VLVB,85,1
87,Butt-Weld End Connection,VLVB,85,1
88,Screwed End Connection,VLVB,85,1
89,Fisher ED Control Valve,VLVB,"47,48",4
90,Fisher EZ Control Valve,VLVB,"47,48",2
91,Fisher HP Series Valve,VLVB,"47,84",1
92,Fisher Vee-Ball Valve,VLVB,54,1
93,Fisher Cavitrol III Trim,VLVB,"89,21",1
94,Fisher D3 Control Valve,VLVB,47,1
95,Fisher FIELDVUE Valve,VLVB,46,1
96,Valve Flow Direction,VLVB,"46,18",3
97,Flow-to-Open Configuration,VLVB,96,1
98,Flow-to-Close Configuration,VLVB,96,1
99,Valve Leakage Class,VLVB,46,7
100,ANSI FCI 70-2 Leakage,VLVB,99,1
101,Valve Trim,TRIM,46,113
102,Valve Plug,TRIM,101,27
103,Contoured Plug,TRIM,102,1
104,Characterized Plug,TRIM,102,1
105,Valve Seat,TRIM,101,8
106,Seat Ring,TRIM,105,3
107,Metal Seat,TRIM,106,1
108,Soft Seat,TRIM,106,1
109,Valve Cage,TRIM,101,2
110,Cage-Guided Trim,TRIM,"109,102",1
111,Stem-Guided Trim,TRIM,101,1
112,Port-Guided Trim,TRIM,101,1
113,Valve Stem,TRIM,101,31
114,Packing,TRIM,113,20
115,PTFE Packing,TRIM,114,2
116,Graphite Packing,TRIM,114,2
117,Live-Loaded Packing,TRIM,114,1
118,Bonnet,TRIM,"113,114",5
119,Standard Bonnet,TRIM,118,1
120,Extension Bonnet,TRIM,118,1
121,Bellows Seal Bonnet,TRIM,118,2
122,Trim Material,TRIM,101,7
123,Hardened Trim,TRIM,122,3
124,Stellite Overlay,TRIM,123,1
125,Ceramic Trim,TRIM,122,1
126,Multistage Trim,TRIM,"101,18",6
127,Noise Attenuating Trim,TRIM,"126,32",2
128,Anti-Cavitation Trim,TRIM,"126,21",2
129,Fisher WhisperFlo Trim,TRIM,127,1
130,Cv of Trim,TRIM,101,25
131,Inherent Flow Characteristic,TRIM,"102,130",21
132,Linear Characteristic,TRIM,131,4
133,Equal-Percentage Characteristic,TRIM,131,4
134,Quick-Opening Characteristic,TRIM,131,1
135,Installed Flow Characteristic,TRIM,"131,35,18",6
136,Rangeability,TRIM,"131,130",2
137,Shutoff Classification,TRIM,"99,105",4
138,Class IV Shutoff,TRIM,137,1
139,Class V Shutoff,TRIM,137,1
140,Class VI Shutoff,TRIM,137,1
141,Trim Interchangeability,TRIM,"101,89",1
142,Low-Flow Trim,TRIM,"130,101",1
143,High-Pressure Drop Trim,TRIM,"101,18,126",1
144,Balanced Trim,TRIM,"102,113",1
145,Unbalanced Trim,TRIM,102,1
146,Valve Actuator,ACT,46,351
147,Pneumatic Actuator,ACT,146,30
148,Piston Actuator,ACT,147,1
149,Diaphragm Actuator,ACT,147,1
150,Spring Return Actuator,ACT,147,9
151,Double-Acting Actuator,ACT,147,1
152,Fail-Safe Position,ACT,150,8
153,Fail-Open,ACT,152,1
154,Fail-Close,ACT,152,1
155,Fail-Last,ACT,152,2
156,Supply Pressure,ACT,"147,3",1
157,Actuator Thrust,ACT,"147,3",7
158,Actuator Sizing,ACT,"157,113",4
159,Electric Actuator,ACT,146,21
160,On-Off Electric Actuator,ACT,159,1
161,Modulating Electric Actuator,ACT,159,2
162,Multi-Turn Actuator,ACT,161,1
163,Quarter-Turn Actuator,ACT,"159,51,55",7
164,Hydraulic Actuator,ACT,146,9
165,Subsea Actuator,ACT,164,1
166,Valve Positioner,ACT,146,282
167,Pneumatic Positioner,ACT,"166,147",1
168,Smart Positioner,ACT,166,275
169,Digital Valve Controller (DVC),ACT,168,274
170,Fisher FIELDVUE DVC6200,ACT,169,85
171,Fisher FIELDVUE DVC2000,ACT,169,1
172,4-20 mA Signal,ACT,166,4
173,Split-Range Control,ACT,172,2
174,HART Protocol,ACT,169,17
175,HART Multidrop,ACT,174,1
176,FOUNDATION Fieldbus,ACT,169,4
177,WirelessHART,ACT,174,2
178,Partial Stroke Test,ACT,"169,152",3
179,Valve Signature,ACT,"169,170",84
180,Step Response Test,ACT,179,1
181,Friction Compensation,ACT,"169,114",1
182,Actuator Bench Set,ACT,"147,157",2
183,Solenoid Valve,ACT,"146,159",1
184,Limit Switch,ACT,146,2
185,Valve Position Feedback,ACT,"184,169",1
186,I/P Transducer,ACT,"172,147",1
187,Volume Booster,ACT,"147,182",1
188,Lock-Up Valve,ACT,"147,155",1
189,Speed Control Valves,ACT,147,1
190,Handwheel Override,ACT,146,1
191,Torque,ACT,"51,55,163",5
192,Breakout Torque,ACT,191,1
193,Running Torque,ACT,191,1
194,Seating Torque,ACT,191,1
195,Gearbox,ACT,"163,191",1
196,Electric Actuator Network,ACT,"159,174,176",1
197,Actuator Enclosure Rating,ACT,"159,164",5
198,NEMA Rating,ACT,197,1
199,IP Rating,ACT,197,1
200,Actuator Diagnostics,ACT,"169,179",2
201,Cv Flow Coefficient,SIZE,"18,46",297
202,Kv Flow Coefficient,SIZE,201,1
203,Valve Sizing Equation,SIZE,"201,7,5",126
204,Liquid Valve Sizing,SIZE,"203,1",7
205,Gas Valve Sizing,SIZE,"203,29",1
206,Steam Valve Sizing,SIZE,"203,40,39",2
207,Two-Phase Valve Sizing,SIZE,"203,43",1
208,IEC 60534 Standard,SIZE,203,4
209,ISA S75.01 Standard,SIZE,203,1
210,Pressure Drop Ratio,SIZE,"5,201",2
211,Critical Pressure Drop,SIZE,"26,210",1
212,Liquid Pressure Recovery Factor,SIZE,"27,201",2
213,Combined Liquid Pressure Factor,SIZE,"212,201",1
214,Pipe Reducers Correction,SIZE,"35,201",1
215,Fluid Properties for Sizing,SIZE,"6,8,22,29",6
216,Sizing for Cavitation,SIZE,"21,201",3
217,Sizing for Noise,SIZE,"32,201",3
218,Actuator Sizing Correlation,SIZE,"201,158",1
219,Installed Cv Requirement,SIZE,"201,135",4
220,Flow Characterization Selection,SIZE,"131,133,132",3
221,Valve Body Size Selection,SIZE,"83,201,84",149
222,Reduced Trim Selection,SIZE,"221,201",1
223,Oversized Valve Problem,SIZE,"201,219",1
224,Valve Authority,SIZE,"135,18,219",1
225,Control Valve Specification,SIZE,"203,221",106
226,ISA Valve Data Sheet,SIZE,225,4
227,Process Data Sheet,SIZE,"225,215",1
228,Normal Flow Condition,SIZE,225,5
229,Maximum Flow Condition,SIZE,"225,228",2
230,Minimum Flow Condition,SIZE,"225,228",2
231,Turndown Ratio,SIZE,"136,229,230",1
232,Valve Travel at Design Conditions,SIZE,"225,219",1
233,Sizing Software Tools,SIZE,"203,225",2
234,Fisher Valve Sizing Tool,SIZE,"233,89,90",1
235,Cavitation Index Sigma,SIZE,"216,21",2
236,Anti-Cavitation Selection,SIZE,"235,128",1
237,Noise Prediction Methods,SIZE,"217,32",2
238,IEC Noise Standard,SIZE,"208,237",1
239,Body Selection Guide,SIZE,"221,78",40
240,Trim Selection Guide,SIZE,"220,122",2
241,Packing Selection Guide,SIZE,"114,115,116",1
242,Actuator Selection Guide,SIZE,"158,147,159,164",2
